id,header,new_category GT,Act GT,box_index,label,topic,insight,quotes,insight_GT,url_link
595,BEHIND A WIRE FENCE is a Love Letter to Minor League Baseball—Especially for New Yorkers Who Loved the Game in the 90s,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2024/11/19/2983909/0/en/BEHIND-A-WIRE-FENCE-is-a-Love-Letter-to-Minor-League-Baseball-Especially-for-New-Yorkers-Who-Loved-the-Game-in-the-90s.html
18290,The Secret to Out-Innovating the Competition: Inside the Tesla Playbook | The Motley Fool,recap/review,NO,0,informative,AI Infrastructure ETF,"A new AI infrastructure ETF was launched in December 2025, weighted by profit contribution rather than market cap, and has outperformed other AI infrastructure ETFs by over 80% in its first year.","We developed an AI infrastructure ETF based on profit contribution, not market cap.
We introduced that in December 2025, so just over a year ago, and it is over the past 12 months, the top performing AI infrastructure ETF in the market.
You would have been up more than 80% if you'd bought it on day one.",DROP,https://www.fool.com/investing/2026/04/11/the-secret-to-out-innovating-the-competition-inside-the-tesla-playbook/?source=iedfolrf0000001
18290,The Secret to Out-Innovating the Competition: Inside the Tesla Playbook | The Motley Fool,recap/review,NO,1,informative,Mobile Automotive Service,"A new model for automotive service was developed where technicians perform repairs at customer locations (driveways, offices) rather than in a traditional service center building, significantly reducing the need for physical infrastructure.","We question the requirement of do you need a building to fix a car?
We started to deploy these just in San Francisco and the Bay Area, and customers were blown away that we would come and fix their car and their driveway, like magic elves.
It fundamentally changed the way that automotive service is done.",DROP,https://www.fool.com/investing/2026/04/11/the-secret-to-out-innovating-the-competition-inside-the-tesla-playbook/?source=iedfolrf0000001
18290,The Secret to Out-Innovating the Competition: Inside the Tesla Playbook | The Motley Fool,recap/review,NO,2,informative,Cash Velocity Metric,"The article highlights 'cash velocity' or 'cycle time' as a critical, yet often overlooked, metric for evaluating business health, contrasting Toyota's 4-day cycle with Tesla's initial 14-day cycle.","Toyota at that time, could do that in about four days.",DROP,https://www.fool.com/investing/2026/04/11/the-secret-to-out-innovating-the-competition-inside-the-tesla-playbook/?source=iedfolrf0000001
5997,Lover of Music and Writer Debuts A Poetic Exploration of Life's Divine Inspirations,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/05/21/3086049/0/en/Lover-of-Music-and-Writer-Debuts-A-Poetic-Exploration-of-Life-s-Divine-Inspirations.html
4823,"Your End-All, Be-All Playbook on the Road to Success: How A Truck Driver Became A VP of a Fortune 500 Company",book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/04/09/3058775/0/en/Your-End-All-Be-All-Playbook-on-the-Road-to-Success-How-A-Truck-Driver-Became-A-VP-of-a-Fortune-500-Company.html
7887,"A Journey Through Baltimore's Streets: Resilience, Poetry, and Soul",book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/07/30/3124247/0/en/A-Journey-Through-Baltimore-s-Streets-Resilience-Poetry-and-Soul.html
3629,Learn Valuable Lessons on Family and Friendship in THE ADVENTURES OF ANDY THE ANT: An Exciting New Picture Book,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/02/25/3032234/0/en/Learn-Valuable-Lessons-on-Family-and-Friendship-in-THE-ADVENTURES-OF-ANDY-THE-ANT-An-Exciting-New-Picture-Book.html
15587,Wife Finishes and Posthumously Publishes Husband’s Heart-Pounding Action Thriller Following Two Friends Who Time Travel Into the Past,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/02/10/3235688/0/en/Wife-Finishes-and-Posthumously-Publishes-Husband-s-Heart-Pounding-Action-Thriller-Following-Two-Friends-Who-Time-Travel-Into-the-Past.html
12762,From Heartbreak to Hope: A Journey of Faith and Resilience,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/04/3200203/0/en/From-Heartbreak-to-Hope-A-Journey-of-Faith-and-Resilience.html
